id,is_humor,humor_rating,humor_mechanism,humor_target
tweet30001,1,0.0,stereotype,age
tweet30002,0,0.0,reference,self-deprecating
tweet30003,0,0.0,wordplay,professions
tweet30004,0,0.0,absurd,health
tweet30005,0,0.0,reference,self-deprecating
tweet30006,0,0.0,reference,professions
tweet30007,0,0.0,absurd,self-deprecating
tweet30008,0,0.0,absurd,professions
tweet30009,0,0.0,exaggeration,self-deprecating
tweet30010,0,0.0,absurd,self-deprecating
tweet30011,0,0.0,reference,self-deprecating
tweet30012,0,0.0,absurd,self-deprecating
tweet30013,0,0.0,parody,body shaming
tweet30014,0,0.0,absurd,self-deprecating
tweet30015,0,0.0,parody,professions
tweet30016,0,0.0,reference,self-deprecating
tweet30017,0,0.0,wordplay,professions
tweet30018,0,0.0,parody,self-deprecating
tweet30019,1,0.0,misunderstanding,age
tweet30020,0,0.0,reference,professions
tweet30021,0,0.0,unmasking,professions
tweet30022,1,0.0,parody,professions
tweet30023,0,0.0,reference,professions
tweet30024,1,0.0,absurd,age
tweet30025,0,0.0,absurd,self-deprecating
tweet30026,1,0.0,misunderstanding,body shaming
tweet30027,0,0.0,parody,self-deprecating
tweet30028,1,0.0,irony,self-deprecating
tweet30029,0,0.0,reference,self-deprecating
tweet30030,0,0.0,reference,self-deprecating
tweet30031,0,0.0,absurd,professions
tweet30032,0,0.0,absurd,self-deprecating
tweet30033,0,0.0,exaggeration,self-deprecating
tweet30034,1,0.0,wordplay,women
tweet30035,0,0.0,exaggeration,self-deprecating
tweet30036,0,0.0,reference,self-deprecating
tweet30037,0,0.0,reference,self-deprecating
tweet30038,0,0.0,stereotype,family/relationships
tweet30039,1,0.0,insults,body shaming
tweet30040,0,0.0,reference,professions
tweet30041,0,0.0,wordplay,professions
tweet30042,0,0.0,parody,self-deprecating
tweet30043,0,0.0,exaggeration,women
tweet30044,0,0.0,reference,self-deprecating
tweet30045,0,0.0,absurd,self-deprecating
tweet30046,0,0.0,stereotype,women
